chrom	start	end	atac_is_dynamic
chrI	826328	826496	dynamic
chrI	828743	828887	constitutive
chrI	829995	830170	dynamic
chrI	833987	834089	dynamic
chrI	834647	834767	dynamic
chrI	834864	834966	dynamic
chrI	835341	835486	dynamic
chrI	836115	836291	dynamic
chrI	840510	840670	dynamic
chrI	843397	843543	dynamic
chrI	849252	849534	dynamic
chrI	851683	851810	dynamic
chrI	852067	852266	dynamic
chrI	852437	852542	constitutive
chrI	852750	852847	dynamic
chrI	853271	853372	constitutive
chrI	879814	880065	dynamic
chrI	880254	880361	constitutive
chrI	881478	881639	dynamic
chrI	881831	881985	dynamic
chrI	882563	882690	dynamic
chrI	882756	882899	dynamic
chrI	882948	883113	dynamic
chrI	884467	884621	dynamic
chrI	885397	885550	dynamic
chrI	887907	888015	dynamic
chrI	895057	895162	dynamic
chrI	896023	896132	constitutive
chrI	920486	920662	dynamic
chrI	927084	927316	dynamic
chrI	929715	929877	dynamic
chrI	935113	935268	dynamic
chrI	936622	936802	dynamic
chrI	938377	938598	dynamic
chrI	939545	939813	dynamic
chrI	946080	946211	dynamic
chrI	946472	946607	constitutive
chrI	954469	954600	dynamic
chrI	954991	955117	constitutive
chrI	955287	955403	dynamic
chrI	955542	955675	dynamic
chrI	957435	957594	constitutive
chrI	959909	960190	dynamic
chrI	961354	961472	dynamic
chrI	961564	961680	constitutive
chrI	963620	963759	dynamic
chrI	963952	964155	dynamic
chrI	969439	969561	dynamic
chrI	973161	973278	constitutive
chrI	973791	973931	dynamic
chrI	978256	978429	dynamic
chrI	978674	978825	dynamic
chrI	979521	979726	dynamic
chrI	983046	983256	dynamic
chrI	984432	984608	dynamic
chrI	985086	985218	constitutive
chrI	986797	986950	dynamic
chrI	987670	987793	dynamic
chrI	989013	989148	dynamic
chrI	990385	990587	constitutive
chrI	998468	998656	dynamic
chrI	999191	999391	dynamic
chrI	999971	1000171	dynamic
chrI	1000871	1001071	dynamic
chrI	1005990	1006168	dynamic
chrI	1014454	1014536	dynamic
chrI	1014572	1014741	dynamic
chrI	1015060	1015195	dynamic
chrI	1016942	1017115	dynamic
chrI	1017481	1017666	dynamic
chrI	1018934	1019066	dynamic
chrI	1022197	1022327	dynamic
chrI	1029699	1029902	constitutive
chrI	1030126	1030229	dynamic
chrI	1030853	1031077	constitutive
chrI	1031869	1032068	constitutive
chrI	1033592	1033755	dynamic
chrI	1033945	1034088	dynamic
chrI	1034312	1034430	dynamic
chrI	1038254	1038429	dynamic
chrI	1041005	1041194	dynamic
chrI	1049247	1049361	dynamic
chrI	1052229	1052370	dynamic
chrI	1053708	1053847	dynamic
chrI	1061974	1062338	dynamic
chrI	1067084	1067199	dynamic
chrI	1068159	1068338	dynamic
chrI	1068380	1068591	dynamic
chrI	1069233	1069406	dynamic
chrI	1069666	1069808	dynamic
chrI	1069989	1070191	dynamic
chrI	1077351	1077468	dynamic
chrI	1082470	1082690	dynamic
chrI	1090401	1090580	dynamic
chrI	1095630	1095796	dynamic
chrI	1096059	1096190	dynamic
chrI	1099185	1099361	constitutive
chrI	1100697	1100869	dynamic
chrI	1103398	1103536	dynamic
chrI	1106500	1106689	dynamic
chrI	1110611	1110734	dynamic
chrI	1119289	1119401	dynamic
chrI	1124983	1125179	dynamic
chrI	1126276	1126483	dynamic
chrI	1127042	1127297	dynamic
chrI	1128210	1128342	dynamic
chrI	1130795	1131066	dynamic
chrI	1132020	1132160	dynamic
chrI	1135514	1135667	dynamic
chrI	1139930	1140042	dynamic
chrI	1153176	1153286	dynamic
chrI	1153414	1153527	dynamic
chrI	1156130	1156238	constitutive
chrI	1156677	1156879	dynamic
chrI	1157554	1157724	dynamic
chrI	1159142	1159245	constitutive
chrI	1175385	1175573	constitutive
chrI	1175817	1175918	dynamic
chrI	1199507	1199607	constitutive
chrI	1217269	1217554	dynamic
chrI	1218526	1218707	constitutive
chrI	1226242	1226451	dynamic
chrI	1226648	1226802	constitutive
chrI	1227889	1228020	dynamic
chrI	1228587	1228778	dynamic
chrI	1229338	1229484	constitutive
chrI	1229759	1229864	dynamic
chrI	1230491	1230617	constitutive
chrI	1230851	1231003	constitutive
chrI	1241411	1241516	dynamic
chrI	1251575	1251725	dynamic
chrI	1255998	1256283	dynamic
chrI	1257828	1258082	dynamic
chrI	1258579	1258709	constitutive
chrI	1259450	1259684	dynamic
chrI	1261642	1261766	dynamic
chrI	1271043	1271260	dynamic
chrI	1271476	1271554	dynamic
chrI	1272556	1272697	dynamic
chrI	1273862	1274014	dynamic
chrI	1274075	1274156	dynamic
chrI	1288818	1288941	dynamic
chrI	1290474	1290611	constitutive
chrI	1295559	1295695	dynamic
chrI	1296637	1296792	dynamic
chrI	1298908	1299060	dynamic
chrI	1300105	1300231	dynamic
chrI	1301580	1301710	dynamic
chrI	1304093	1304221	constitutive
chrI	1304340	1304482	dynamic
chrI	1305359	1305463	dynamic
chrI	1305696	1305918	dynamic
chrI	1311004	1311296	dynamic
chrI	1312903	1313061	constitutive
chrI	1313684	1313829	dynamic
chrI	1315547	1315702	dynamic
chrI	1316124	1316322	constitutive
chrI	1317079	1317249	constitutive
chrI	1322058	1322184	dynamic
chrI	1327883	1328146	constitutive
chrI	1331191	1331332	dynamic
chrI	1335227	1335393	constitutive
chrI	1339694	1339863	dynamic
chrI	1340119	1340227	dynamic
chrI	1340496	1340705	constitutive
chrI	1340999	1341129	dynamic
chrI	1341357	1341565	dynamic
chrI	1342166	1342331	constitutive
chrI	1346214	1346371	dynamic
chrI	1356513	1356687	constitutive
chrI	1360214	1360323	dynamic
chrI	1361300	1361456	dynamic
chrI	1365427	1365576	constitutive
chrI	1368811	1368982	dynamic
chrI	1392545	1392712	dynamic
chrI	1392930	1393053	dynamic
chrI	1394213	1394458	dynamic
chrI	1410033	1410148	dynamic
chrI	1415512	1415667	constitutive
chrI	1415960	1416074	dynamic
chrI	1416121	1416240	constitutive
chrI	1425263	1425374	dynamic
chrI	1435241	1435385	constitutive
chrI	1435605	1435728	constitutive
chrI	1444177	1444414	constitutive
chrI	1446997	1447161	dynamic
chrI	1451590	1451715	dynamic
chrI	1455336	1455484	dynamic
chrI	1459078	1459215	dynamic
chrI	1471107	1471291	dynamic
chrI	1481570	1481801	dynamic
chrI	1482841	1482967	dynamic
chrI	1493529	1493692	dynamic
chrI	1508666	1508830	dynamic
chrI	1535745	1535879	dynamic
chrI	1537946	1538059	dynamic
chrI	1540587	1540751	dynamic
chrI	1540911	1541035	dynamic
chrI	1548255	1548395	constitutive
chrI	1557414	1557602	dynamic
chrI	1558574	1558719	dynamic
chrI	1559169	1559334	dynamic
chrI	1562635	1562794	dynamic
chrI	1564095	1564281	dynamic
chrI	1565236	1565360	dynamic
chrI	1575640	1575756	dynamic
chrI	1581241	1581356	dynamic
chrI	1582034	1582159	dynamic
chrI	1583407	1583543	dynamic
chrI	1585150	1585306	constitutive
chrI	1588242	1588354	constitutive
chrI	1598544	1598730	dynamic
chrI	1610143	1610240	dynamic
chrI	1626483	1626655	constitutive
chrI	1628652	1628770	dynamic
chrI	1634508	1634702	dynamic
chrI	1636520	1636669	dynamic
chrI	1641392	1641544	dynamic
chrI	1651381	1651540	dynamic
chrI	1667379	1667504	dynamic
chrI	1669101	1669287	dynamic
chrI	1672412	1672535	dynamic
chrI	1676602	1676726	dynamic
chrI	1678967	1679149	constitutive
chrI	1687720	1687927	dynamic
chrI	1688957	1689080	dynamic
chrI	1691116	1691251	dynamic
chrI	1691405	1691542	dynamic
chrI	1693039	1693158	dynamic
chrI	1693250	1693390	dynamic
chrI	1695164	1695306	dynamic
chrI	1697070	1697236	dynamic
chrI	1697971	1698170	dynamic
chrI	1701863	1701964	constitutive
chrI	1715180	1715377	constitutive
chrI	1717516	1717657	constitutive
chrI	1719143	1719318	dynamic
chrI	1720659	1720829	dynamic
chrI	1721567	1721761	dynamic
chrI	1722590	1722885	constitutive
chrI	1729645	1729798	dynamic
chrI	1731049	1731228	dynamic
chrI	1751115	1751205	dynamic
chrI	1777404	1777633	dynamic
chrI	1778772	1778937	constitutive
chrI	1791808	1791964	constitutive
chrI	1792649	1792772	constitutive
chrI	1793057	1793236	constitutive
chrI	1797285	1797411	constitutive
chrI	1800128	1800355	dynamic
chrI	1807956	1808122	dynamic
chrI	1808632	1808813	constitutive
chrI	1809729	1809931	constitutive
chrI	1823075	1823151	dynamic
chrI	1823231	1823341	constitutive
chrI	1825990	1826090	dynamic
chrI	1826222	1826345	constitutive
chrI	1832180	1832377	constitutive
chrI	1832637	1832740	constitutive
chrI	1834886	1835036	dynamic
chrI	1835128	1835213	constitutive
chrI	1835535	1835685	constitutive
chrI	1836241	1836329	dynamic
chrI	1836473	1836604	dynamic
chrI	1836746	1836963	dynamic
chrI	1836972	1837186	dynamic
chrI	1839754	1839897	constitutive
chrI	1840875	1840996	constitutive
chrI	1841204	1841360	constitutive
chrI	1842031	1842137	constitutive
chrI	1842429	1842594	constitutive
chrI	1845039	1845159	dynamic
chrI	1852692	1852867	dynamic
chrI	1852987	1853182	dynamic
chrI	1861859	1861978	dynamic
chrI	1869088	1869311	constitutive
chrI	1870854	1870997	constitutive
chrI	1872597	1872702	dynamic
chrI	1873821	1874048	dynamic
chrI	1874561	1874686	dynamic
chrI	1876489	1876710	constitutive
chrI	1877788	1877912	dynamic
chrI	1878928	1879055	dynamic
chrI	1888617	1888827	dynamic
chrI	1895077	1895179	dynamic
chrI	1911628	1911952	dynamic
chrI	1913980	1914144	dynamic
chrI	1915953	1916126	dynamic
chrI	1919271	1919456	dynamic
chrI	1958492	1958608	dynamic
chrI	1972619	1972929	dynamic
chrI	1977973	1978139	dynamic
chrI	1978270	1978382	dynamic
chrI	1978547	1978741	dynamic
chrI	2002381	2002564	dynamic
chrI	2011302	2011446	constitutive
chrI	2019500	2019661	dynamic
chrI	2020061	2020194	dynamic
chrI	2021310	2021462	dynamic
chrI	2024711	2024836	dynamic
chrI	2026142	2026267	dynamic
chrI	2034520	2034740	constitutive
chrI	2041150	2041317	dynamic
chrI	2045041	2045179	dynamic
chrI	2045255	2045337	dynamic
chrI	2047141	2047347	dynamic
chrI	2049182	2049273	dynamic
chrI	2054690	2054891	dynamic
chrI	2061357	2061505	dynamic
chrI	2064026	2064127	dynamic
chrI	2064365	2064562	constitutive
chrI	2064833	2064956	dynamic
chrI	2065562	2065710	constitutive
chrI	2066836	2067036	dynamic
chrI	2068984	2069091	dynamic
chrI	2069241	2069555	dynamic
chrI	2069986	2070170	dynamic
chrI	2070345	2070548	dynamic
chrI	2070844	2070953	constitutive
chrI	2076978	2077104	constitutive
chrI	2078148	2078300	dynamic
chrI	2084324	2084430	dynamic
chrI	2084929	2085098	dynamic
chrI	2088914	2089100	dynamic
chrI	2095195	2095337	dynamic
chrI	2097042	2097151	dynamic
chrI	2100058	2100175	dynamic
chrI	2118331	2118475	constitutive
chrI	2119374	2119533	dynamic
chrI	2120759	2120878	constitutive
chrI	2125231	2125365	dynamic
chrI	2126832	2126967	dynamic
chrI	2147848	2147965	dynamic
chrI	2151771	2151916	dynamic
chrI	2153994	2154168	dynamic
chrI	2155579	2155732	dynamic
chrI	2156012	2156113	dynamic
chrI	2156223	2156411	dynamic
chrI	2156639	2156833	dynamic
chrI	2157131	2157292	constitutive
chrI	2167905	2168050	dynamic
chrI	2169921	2170056	constitutive
chrI	2176900	2177026	dynamic
chrI	2178148	2178295	dynamic
chrI	2179900	2180187	dynamic
chrI	2182854	2183164	dynamic
chrI	2184909	2185074	dynamic
chrI	2186566	2186691	dynamic
chrI	2187226	2187461	dynamic
chrI	2189467	2189615	constitutive
chrI	2190537	2190685	dynamic
chrI	2191374	2191481	constitutive
chrI	2192483	2192722	constitutive
chrI	2210412	2210530	dynamic
chrI	2211688	2211860	dynamic
chrI	2212180	2212342	dynamic
chrI	2219571	2219804	constitutive
chrI	2220742	2220976	dynamic
chrI	2247726	2247859	dynamic
chrI	2249243	2249376	dynamic
chrI	2272397	2272507	dynamic
chrI	2273071	2273207	constitutive
chrI	2277062	2277186	dynamic
chrI	2280390	2280579	dynamic
chrI	2291153	2291308	constitutive
chrI	2291516	2291644	dynamic
chrI	2292867	2293024	dynamic
chrI	2299705	2299848	dynamic
chrI	2302839	2302957	dynamic
chrI	2304252	2304372	dynamic
chrI	2306037	2306215	dynamic
chrI	2306865	2306975	dynamic
chrI	2307222	2307333	dynamic
chrI	2308625	2308780	dynamic
chrI	2309325	2309441	dynamic
chrI	2311774	2311998	constitutive
chrI	2312241	2312380	constitutive
chrI	2313069	2313181	dynamic
chrI	2316055	2316168	dynamic
chrI	2318503	2318668	dynamic
chrI	2318825	2318953	dynamic
chrI	2321905	2322022	dynamic
chrI	2322647	2322849	dynamic
chrI	2322956	2323069	dynamic
chrI	2333165	2333280	constitutive
chrI	2335471	2335629	constitutive
chrI	2339843	2340016	dynamic
chrI	2342142	2342281	dynamic
chrI	2354941	2355073	dynamic
chrI	2385128	2385268	dynamic
chrI	2390887	2391128	dynamic
chrI	2393452	2393594	constitutive
chrI	2401608	2401709	dynamic
chrI	2404672	2404944	constitutive
chrI	2405051	2405173	dynamic
chrI	2405500	2405707	dynamic
chrI	2410078	2410215	dynamic
chrI	2411707	2411880	dynamic
chrI	2413063	2413266	constitutive
chrI	2413547	2413750	constitutive
chrI	2414174	2414298	dynamic
chrI	2420325	2420409	dynamic
chrI	2420627	2420731	dynamic
chrI	2420993	2421169	constitutive
chrI	2421240	2421361	constitutive
chrI	2421796	2421907	constitutive
chrI	2427715	2427911	dynamic
chrI	2428013	2428159	dynamic
chrI	2428665	2428825	dynamic
chrI	2432035	2432168	dynamic
chrI	2432300	2432411	dynamic
chrI	2433706	2433812	dynamic
chrI	2434056	2434241	constitutive
chrI	2435983	2436291	dynamic
chrI	2436852	2436933	dynamic
chrI	2437049	2437163	constitutive
chrI	2437577	2437716	dynamic
chrI	2464693	2464825	dynamic
chrI	2485212	2485369	constitutive
chrI	2485598	2485700	dynamic
chrI	2487856	2487965	constitutive
chrI	2489837	2490011	dynamic
chrI	2513800	2513894	dynamic
chrI	2514235	2514418	dynamic
chrI	2516642	2516858	dynamic
chrI	2519012	2519194	dynamic
chrI	2552927	2553097	dynamic
chrI	2565269	2565468	dynamic
chrI	2571142	2571291	dynamic
chrI	2571427	2571646	constitutive
chrI	2574044	2574223	constitutive
chrI	2577187	2577349	constitutive
chrI	2577429	2577604	constitutive
chrI	2580163	2580325	dynamic
chrI	2583954	2584375	constitutive
chrI	2585966	2586084	constitutive
chrI	2586276	2586398	constitutive
chrI	2586825	2587031	dynamic
chrI	2587137	2587222	dynamic
chrI	2587372	2587473	dynamic
chrI	2587622	2587833	dynamic
chrI	2589123	2589270	dynamic
chrI	2591553	2591707	constitutive
chrI	2594296	2594538	constitutive
chrI	2595464	2595629	constitutive
chrI	2598509	2598694	dynamic
chrI	2601697	2601878	dynamic
chrI	2603719	2603883	dynamic
chrI	2605355	2605578	dynamic
chrI	2608589	2608756	dynamic
chrI	2620428	2620531	dynamic
chrI	2628256	2628376	dynamic
chrI	2628648	2628764	dynamic
chrI	2628828	2628921	constitutive
chrI	2629201	2629303	constitutive
chrI	2634660	2634762	dynamic
chrI	2634942	2635092	constitutive
chrI	2636149	2636266	dynamic
chrI	2636450	2636536	dynamic
chrI	2639746	2639892	dynamic
chrI	2642442	2642538	dynamic
chrI	2648905	2649078	dynamic
chrI	2654512	2654699	constitutive
chrI	2655801	2655948	dynamic
chrI	2656031	2656122	dynamic
chrI	2657073	2657322	dynamic
chrI	2658654	2658802	dynamic
chrI	2659301	2659484	constitutive
chrI	2659930	2660013	constitutive
chrI	2660049	2660167	constitutive
chrI	2661287	2661508	constitutive
chrI	2662602	2662731	constitutive
chrI	2664970	2665131	constitutive
chrI	2665316	2665480	constitutive
chrI	2665899	2666041	dynamic
chrI	2666684	2666913	dynamic
chrI	2667921	2668059	dynamic
chrI	2668289	2668394	dynamic
chrI	2668680	2668855	dynamic
chrI	2669265	2669505	constitutive
chrI	2670557	2670733	dynamic
chrI	2678127	2678334	dynamic
chrI	2679492	2679733	dynamic
chrI	2680796	2680919	constitutive
chrI	2681504	2681649	dynamic
chrI	2682550	2682664	constitutive
chrI	2682953	2683148	dynamic
chrI	2684483	2684656	constitutive
chrI	2686474	2686593	dynamic
chrI	2686758	2687110	constitutive
chrI	2687292	2687455	constitutive
chrI	2687680	2687868	dynamic
chrI	2688119	2688252	dynamic
chrI	2688873	2689021	dynamic
chrI	2689409	2689560	dynamic
chrI	2690177	2690315	dynamic
chrI	2690454	2690561	dynamic
chrI	2697145	2697287	dynamic
chrI	2703269	2703459	dynamic
chrI	2704432	2704670	constitutive
chrI	2705785	2705892	dynamic
chrI	2706120	2706308	dynamic
chrI	2707229	2707346	dynamic
chrI	2708329	2708477	dynamic
chrI	2709582	2709783	dynamic
chrI	2710923	2711078	dynamic
chrI	2711278	2711448	dynamic
chrI	2722883	2723032	dynamic
chrI	2723223	2723328	dynamic
chrI	2723556	2723663	dynamic
chrI	2726282	2726442	constitutive
chrI	2726682	2726783	dynamic
chrI	2727043	2727237	dynamic
chrI	2727617	2727836	dynamic
chrI	2728733	2728972	dynamic
chrI	2738311	2738467	dynamic
chrI	2739465	2739630	dynamic
chrI	2739979	2740279	dynamic
chrI	2740919	2741114	dynamic
chrI	2741182	2741404	dynamic
chrI	2742303	2742472	dynamic
chrI	2742980	2743105	dynamic
chrI	2744951	2745112	dynamic
chrI	2745857	2746236	dynamic
chrI	2746621	2746785	dynamic
chrI	2746857	2746958	dynamic
chrI	2747687	2747765	dynamic
chrI	2747774	2747972	dynamic
chrI	2749184	2749325	dynamic
chrI	2749479	2749602	dynamic
chrI	2750846	2751001	dynamic
chrI	2751119	2751269	dynamic
chrI	2752163	2752346	dynamic
chrI	2753060	2753181	dynamic
chrI	2754116	2754380	dynamic
chrI	2755206	2755362	constitutive
chrI	2755511	2755658	dynamic
chrI	2758235	2758451	constitutive
chrI	2758685	2758794	dynamic
chrI	2761005	2761148	dynamic
chrI	2762190	2762338	dynamic
chrI	2773910	2774031	dynamic
chrI	2774942	2775203	constitutive
chrI	2776227	2776332	constitutive
chrI	2777474	2777625	constitutive
chrI	2778167	2778286	dynamic
chrI	2778424	2778553	dynamic
chrI	2778792	2778927	dynamic
chrI	2780111	2780232	dynamic
